objectid,filename,youtubeid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,iglink
coll024,https://lh3.googleusercontent.com/d/1_XTZsen4kKWf7oe8YhzopWEfVrHw4zly,,M17. CEBU CEREALS,,,"Pigafetta’s word list is evidence that several cereals grew in the Cebu (ZEUBU) area. In addition to millet, already described in an earlier post, there was sorghum that natives called BATAT. Like Pigafetta’s entry HUMAS for millet, BATAT has vanished from usage. Sorghum is a grass grown for grain and fodder. Today it is the “propinquum” kind of sorghum that Southeast Asia and China cultivate. The third cereal thriving in 1521 was rice that the chronicler said was called BUGHAX BARAS. Perhaps the first word, pronounced “bughas” is today’s BUGAS. BARAS means shaft, as in a long and narrow handle. Could it refer to the shape of the long rice stalk or stem?",Cebu; Zeubu; Bughas,Magellan Menu,,,"Image is a colored version of Pigafetta’s hand-drawn map. Shown in Vibal Foundation’s PHILIPPINE CARTOGRAPHY 1320-1899 by Carlos Quirino, edited by Carlos Madrid, with a foreword by Ambeth Ocampo and introduction by Thomas Suarez.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3yoy88H6g4/
coll025,https://lh3.googleusercontent.com/d/16i1_jF0p2S7v_x2GE09uhIsZqrrLt0op,,M16. TRAITOR’S BIRTHPLACE?,,,"When Fernando Magallanes left his birthplace of Sabrosa town in the district of Villa Real of northern Portugal, and became a Spanish citizen he was branded a traitor to Portugal. Worse was that he belonged to the minor nobility, and while young had dwelt in the Lisbon palace as a page to Portuguese Princess Leonor de Viseu. He had distinguished himself in the Portuguese military and maritime service, even reaching Malacca under Alfonso d’Albuquerque who sought to expand the Portuguese empire. Magallanes was no stranger to Asia when he got to the Philippines in 1521. He would have known bananas, coconuts, and other foods that a European crew could live on when food loaded in Spain ran out. Pigafetta had never been to insular Southeast Asia and was so curious about the foreign food and culture he found. Magellan’s birthplace.",Fernando Magallanes; birthplace; Portugal; Villa Real; Sabrosa,Magellan Menu,,,"Quincy Castillo, Camera Club of the PHILIPPINES.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3wBHF_nF0y/
coll026,https://lh3.googleusercontent.com/d/1GoAuxET99UTNgbXqiilJ88hpOAbjvgae,,M15. THE 6-HOUR MEAL,,,"Magellan had Pigafetta bring gifts to the King of Cebu on Tuesday, April 9, 1521. The King shared his fare that was not dinner: turtle eggs served on two porcelain dishes accompanied by four jars full of palm wine covered with sweet-smelling herbs. Each jar had four small reed straws from which he drank. Pigafetta wrote that his co-crew were always invited by the Cebuanos to eat and drink with them, whether day or night. “Their viands are half cooked and very salty. They drink frequently and copiously from the jars through those small reeds,” Pigafetta wrote. He added, “and one meal lasts for five to six hours.” The straws were eco-friendly and could be among the alternatives to plastic straws that started overtaking paper and glass straws in the 1960s. Some historians refer to the 20th century as the Plastic Age.",Straw; King of Cebu; Cebu; Jar,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3rlNH2HViY/
coll027,https://lh3.googleusercontent.com/d/1MYmTeaJnxRDoIHz75xWip-nRVFiKxVYa,,M14. BEACH EGGS 50-70% YOLK,,,"Magellan’s men arrived during the breeding season of the Megapodius cumingii — better known as the big-footed TABON bird. Pigafetta saw them on Gatighan Island seemingly near Leyte. They are terrestrial like chicken, but are black with a long tail. They do not incubate their eggs but bury them in sun-warmed sand. Chicks have strong claws to help them leave their shells. Pigafetta wrote: TABON eggs were known to be good food. They inhabit mangrove and beach forests, roosting on trees at night. The cumingii is common to the Philippines, Borneo, Sulawesi. But if the eggs are eaten, the bird might get extinct!",Cumingii; Tabon bird,Magellan Menu,,,Fr. Francisco Ignacio Alcina’s 9 volumes about Visayan culture published in 1668.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3mVcSjnA1d/
coll028,https://lh3.googleusercontent.com/d/1BUW9ff4xUdyaIn3z3K4-9OB8aoRNEk0i,,M13. LEFTY FIST POWER 1521,,,"On March 29 of that year, Pigafetta dined with a Visayan king. With every mouthful of cooked pork, one had to drink wine. The king showed the custom: raise clasped hands toward the sky, then toward one’s drinking companion; take the filled cup in the right hand; extend the fist of the left hand to the companion as if to strike him; then drink. Everyone made the customary signs to one another when drinking. They were considered a ceremony of friendship. What did the clenched fist mean then? The power fist, although used since the 19th century by liberation groups, became popular only after 1948 when Taller de Grafica Popular, a printing shop in Mexico, advanced it as an artistic revolutionary symbol.",Visayan King; Antonio Pigafetta; Ceremony,Magellan Menu,,,Power Fist by Keith Tyler,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3jsFRdn_GX/
coll029,https://lh3.googleusercontent.com/d/1eGHZLyMUUhCbI8zVwleDvGqCc8bChqZb,,M12. FERDINAND MAGELLAN,,,"This was originally posted on Instagram on October 11, 2019: Follow my series about Philippine food history during the first circumnavigation, 1519-1522. #foodiehistorya #magellanmenu @felicepstamaria Portrait of Fernando Magallanes. CTTO 16th or 17th century. Mariners’ Museum. Newport News (VA)",Fernando Magallanes,Magellan Menu,,,"Danilo Madrid Gerona. Ferdinand Magellan: The Armada de Maluco and the European Discovery of the Philippines (Philippines: Spanosh Galleon Publisher, 2016).  This one of the recent biographies about the explorer Ferdinand Magellan.  It is written by a Filipino historian who used primary sources in Spanish and Portuguese archives, some of which had not been noticed before by other authors.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3e4SaHnDpW/
coll030,https://lh3.googleusercontent.com/d/1298MJc4d43IsM3glmitQOmoQzqaRu22L,,M11. WHERE DID PIGAFETTA DISCOVER MILLET IN THE PHILIPPINES?,,,"In 1521 Pigafetta recorded that miglio (millet in Italian) was called HUMAS at the Visayan island of Mazaua where food included citrus, rice, coconut, and more. While Limasawa in southern Leyte is considered to be Mazaua, a case has been made that it might actually have been Masao, in the Caraga area of Mindanao! Historians are debating the evidence again. Millet was likely the fall-back cereal during drought when rice would not grow. Today humas is better known as KABOG, actually the word for fruit bat. It seems fruit bats eat millet and in northern Cebu’s town of Catmon, rice cake of millet is called BUDBUD KABOG. There is even an annual budbud kabog festival every February 10. Enterprises like the one noted in the photo can sell Cebu’s culinary legacy to the delight of an increasing market. This is the 11th in my IG series about Pinoy food discovered during the Magallanes voyage, 1519-1522.",Budbud; HUMAS; Kabog,Magellan Menu,,,Flickr.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B3bnBpOnKWP/
coll031,https://lh3.googleusercontent.com/d/1_0AM9OfDMEEoeEGDfNNcQ1TCXrwHIPXG,,M10. WHEN BREAD MEANT RICE CAKE,,,"Tinapay, today’s Filipino word for wheat bread, originally meant “a certain kind of rice cake.” We owe that fact to Pigafetta who in 1521 listed words in the Cebuano area and their meanings. He did not describe tinapay so no one knows what it really was. Did he not encounter other rice cakes, what we call kakanin now? Missionaries of the later 1500s used tinapay as the word for host when explaining it to new native converts. In the 1800s, tinapay was described by the Recollect priest Juan Felix De Encarnación as a flour circle with a sweet filling that was folded in half to resemble the moon. Perhaps because it resembled the circular host, tinapay was selected by pioneering missionaries. They also used tinapay for wheat bread when referring to miracles of Jesus Christ such as feeding a multitude with just a few fish and bread loaves. Filipinos did not know wheat or wheat bread at the time. They were brought by the Spanish. Later “hostia” was introduced as the word for host; tinapay stayed as generic for wheat bread. Many words around the world change meanings in small and big ways.",Bread; Pan,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3YIpd2nAJm/
coll032,https://lh3.googleusercontent.com/d/1qohofAs3Fg-6GOkACOMS2SYP5PxzEOC0,,M9. DRUNK ON NIPA SAP,,,"Pigafetta is the first to record a Philippine word for wine. In 1521 he wrote that the Cebuano word for vino (wine) was TUBA NIO NIPA. Tuba wine was made from distilling the juice of nipa, the only palm growing in water. The sap flowed from a cut made in a flower stalk (where the globular fruit would grow) conveniently located near the ground. A bamboo pitcher was hung on a joint till it filled with about 2 litres of sap that would ferment into intoxicating wine. Everyone drank too much almost everyday and slept so well that work was put off by Spanish and natives alike. Nipa, pronounced with slight differences, is the local term for “Nipa fruticans” in Indonesia, Malaysia, Antique, Cebu, Leyte, Panay, Samar, Camarines, Albay, Sorsogon, Pampanga, Pangasinan. In other parts of the Philippines it is called sasa or lasa. Into the 1920s nipa was considered a most important plant from an economic standpoint. It was not only still popular as an alcoholic drink but as vinegar. Nipa has feathery leaves stretching 7 meters high and sprouts from a root growing in soil under the waterline. The palm grew in dense clusters hard to penetrate and thus served as a defensive barrier when invaders rowed upstream. In Pangil Bay, Mindanao there was a 9,000 hectare area where nipa grew! North of Manila Bay, mangrove trees were replaced by nipa. Today, nipa forests need replanting. But are the rivers and streams healthy enough for them to survive?",Nipa; Tuba Nio Nipa; Tuba wine,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3SATE3HsDD/
coll033,https://lh3.googleusercontent.com/d/1fsmSzJos_ULnb_NdDiE0yESAxTmjH3ht,,M8. POOR PIGS,,,"Pigafetta and his crew-mates feasted on pork during their first Easter Sunday in Asia, still in central Philippine waters. That was on March 31, 1521. Easter is the major Christian feast. It celebrates how Jesus Christ died for the sake of his kind, people who believe in him and his church, allowing them life ever after. The native king sent Magallanes (Pigafetta’s boss) two swine for their meal. Thanks to archaeological work by the Philippine National Museum, we know pork was eaten by Filipino ancestors 7,000 years ago. It would have been hunted pig. The Ifugao of northern Philippines fault an overly curious Malimayu for interfering with a divine effort for zero hunger and that would have spared the lives of pigs and stopped hunting them forever. A piece of pork dripping with blood provided by a magical pig was suppose to give delicious meat always. That way only one wild pig would be sacrificed for the sake of its kind. But Malimayu was unfaithful to the instructions. She squeezed and wrung the pork till it had no more blood and died! So even today, pigs give their lives so people can live.",Easter Sunday; Asia; Pork,Magellan Menu,,,The Resurrection by Piero Della Francesca dated to 1463,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3OF53oHiXq/
coll034,https://lh3.googleusercontent.com/d/16AqnP9vrpRuUVb_jSDvO9FKNMO6LCGCr,,M7. CAN YOU FIND THE WORD GENGIBRE,,,"Pigafetta recorded that Filipinos had roast fish cut into pieces, freshly gathered ginger, and [native] wine for supper. Europeans cooked with dried ginger, an expensive flavouring sourced in Asia. One wonders how Pigafetta related to the piquancy of fresh ginger. There was yet no chilli pepper recorded in the Philippines. The image is a detail of a Spanish Royal Decree of December 6, 1538. It permitted Juan de Oribe to grow ginger and other spices on Caribbean islands. GENGIBRE is on the 11th line from the top.",Ginger; Gengibre,Magellan Menu,,,"Archivo General de Indias in Seville, Spain",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3KRQ0MHpsU/
coll035,https://lh3.googleusercontent.com/d/1h5EESy5RJG27fpHxLOTZYGAK9v5FGomk,,M6. BROTH NOT SAUCE!,,,"PIgafetta offers the first historical evidence that in the Philippines there was not only meat and fish roasting but the making of fish and pork dishes with BRODO. James Robertson’s translation of brodo into English is sauce. It is wrong and must be changed to BROTH, a thin liquid that could use water, coconut water, stock (from meat, poultry, fish, seafood, vegetables). In Italian today the word for gravy or sauce is fondo. Philippine cooking continues to value broths such as tinola, tola, sinigang, and other dishes with sabaw.",Brodo,Magellan Menu,,,The Philippine Islands edited by Blair and Robertson.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3G5ClvntpT/
coll036,https://lh3.googleusercontent.com/d/1uIP-MVGCBcktS7H5ZIbePIm5pm3WsXiO,,M5. MAKE A RUN FOR IT,,,"Domesticated chickens could not escape when meant for sacrifice at pagan rituals such as during rice harvesting. Pigafetta didn’t know about it. But he learned chicken was eaten. At noon on Friday, March 22, 1521 native men brought coconut, sweet native oranges, a jar of palm wine and a cock that the expeditionary crew bought. They may have purchased a wild jungle fowl (Gallus bankiva) some historians think. Pigafetta recorded the local word for “galina” to be monoch. It is spelled manok in the languages of Bicol, Hiligaynon, Ilocano, Maranaw, Pangasinan, Cebuano, Samar-Leyte, Tagalog; manuk in Pampangan, Ivatan, Maguindanao; manu in Ibanag. In 1613, labuyo meant a wild mountain chicken in Tagalog. Filipinos have been eating chicken for millennia. Archaeologists of the Philippine National Museum found chicken bones at Butuan in Mindanao dating to the 11th and 12th centuries and at Cagayan of northern Luzon in Peñablanca that are 11,000 years old and Lallo, dated as 2,800 years old.",Labuyo; Chicken,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B3A4_hkHzA0/
coll037,https://lh3.googleusercontent.com/d/1XUlH_CaTTJMRaQzKtZf35Cfpos5HR3Ly,,M4. COCONUT CAME FIRST,,,"The Philippine vinegar first documented in a publication was the kind made of coconut. Pigafetta described it in March 1521. He explained how coconut water is naturally fermented, then placed in the sun till it becomes vinegar that to him resembled white wine. He also documented that Filipinos made wine (tuba) from both coconut and nipa palms. Vinegar is wine turned sour, so maybe there was also nipa vinegar but he did NOT write about it. So coconut vinegar is the earliest Philippine vinegar according to historical evidence. The image is the cover of a cookbook published in 1914 by the USA company, Franklin Baker Coconut Company, that in the 1920s would start the desiccated coconut export business of the Philippines, still worth millions.",Coconut; Coconut water,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B27-kQ_ncwf/
coll038,https://lh3.googleusercontent.com/d/1MyxBk2Pfy37s2c1sPOQQMRRd7bj5JVWl,,M3. A BANANA OR ADAM’S BRIEFS?,,,"Pigafetta recorded that banana was eaten in the Philippines. On March 18, 1521 natives gave some. He called the fruit FIGUE, fig. In Spanish fig is HIGUERA. The banana is called HIGUERA DE ADÁN, Adam’s fig. It was believed the banana caused humankind’s damnation (not the apple) and that Adam dressed in its leaves giving it another term, CALZONES or BRAGAS DE ADÁN, Adam’s underpants. It is claimed Spanish knew the banana before the 1492 voyage of Columbus. Arabs may have brought the banana from its cradle of origin, the Eastern Indies to Europe. The term banana traces perhaps to a West African word, BANAANA. The botanical may have been introduced to the American continents from Africa around 1516, just 3 years before Magallanes and Pigafetta sailed off on their voyage. New science has found, though, that banana was dispersed and cultivated in prehistory.",Banana; Fruit,Magellan Menu,,,"a painting by Lozano, 1847",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B24C8TbHx71/
coll039,https://lh3.googleusercontent.com/d/1OzOFfy0PVXY4fm7k_UEPXi291a2yWSnb,,M2. VICTORIA; TRINIDAD,,,"The boat Pigafetta was on when he returned to Spain. He was originally on the flagship Trinity with Captain-General Magallanes who let his sick men pig out on a sow at Homonhon Island, March 17, 1521. Pigs were eaten in insular Southeast Asia. Columbus had to introduce swine to the Americas where they did not exist.",Antonio Pigafetta; Victoria; Trinidad,Magellan Menu,,,"Ortelius map, 1590. Wikipedia",,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B21Tmyan0Vb/
coll040,https://lh3.googleusercontent.com/d/1AhZVqljMU7oMBLRg1-w-UFMtIs3bGKzK,,M1. FAKE FACE,,,Le voyage et navigation and Primo viaggio intorno al mondo are Antonio Pigafetta’s first-person accounts of the first circumnavigation from 1519 to 1522.  He was one of only 18 survivors from an original group of around 237 men headed by Ferdinand Magellan.  Pigafetta’s book includes the first narrative about Philippine gastronomy during the Renaissance and before Spain colonized the Philippines. That portrait has been cited as Pigafetta for scores.  But it is another Pigafetta who was born two years after Antonio died.,Antonio Pigafetta,Magellan Menu,,,"Antonio Pigafetta, Primo viaggio intorno al mondo in The Philippine Islands: 1493-1898.  Emma Helen Blair and James Alexander Robertson, editors. (Mandaluyong: Cacho Hermanos, Inc., 1973) Volume 33: 25-367 and Volume 34:37-180.  The original Italian transcript is at the Biblioteca Ambrosiana in Milan, Italy.  James Alexander Robertson translated it into English.  Both versions are published side by side.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B2xiwdxHp0-/
coll041,https://lh3.googleusercontent.com/d/10l61LS82HqHOqEOrUvlpkjxcpVter0hP,,J. COURTLY FOOD,,,"The Armada’s officials were allowed by Borneo’s Rajah Siripada to load water, fresh food and firewood. They presented gifts during an audience at court. When done they were served refreshments that included clove and cinnamon. The spices were known by Filipino ancestors but not noticed in their cuisine by Pigafetta. The Armada officials proceeded to the house of Siripada’s governor where they ate a full meal. Nine men arrived, each carrying a large wooden tray from the king. Each tray had 10-12 porcelain dishes filled with veal, capon, chicken, peacock, fish and other animal meat. All in all there were 30-32 different kinds of meat in addition to fish. Rice and sweet foods were included along with gold spoons like those in Europe for the guests’ use. Distilled wine was drank in porcelain cups the size of an egg. Pigafetta recorded nothing as elaborate at any of the courts in Philippine waters. ctto Vintage postal image of a peacock. Public Domain Pictures.",Armada de Maluco; Rajah Siripada,Magellan Menu,,,Vintage postal image of a peacock.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CNgg64wHiLQ/
coll042,https://lh3.googleusercontent.com/d/1aU7gZavNpESL2tuwWmLUI1l34xfgch93,,K.	LIFE-SAVING CLOVE,,,"On July 29, 1521 the Armada’s 2 ships escaped from Borneo! They feared being trapped and captured several Bornean trading junks. On one was Siripada’s captain-general feared throughout the region. He was the “son of the King of Luzon” and got away with the junks by bribing with gold the Armada’s new commander Johan Carvalho who was replaced subsequently. The prince would have been Muslim. The only Muslim community spotted by the Armada in Philippine waters was at Cagayan Island: a small population banished from Borneo. The Bornean experience served them well when they finally reached the Moluccas. On November 8, 1521 they entered the harbor of one Spice Island, Tidore. Its ruler Rajah Sultan Manzor became their patron. He filled the ships with clove, provided guides who knew the Laut Chidol (South Sea), and helped provision the Armada for its trip back to Spain. (To be continued) ctto Syzygium aromaticum. Clove. Franz Eugene Köhler. 1897. Wikimedia public domain.",Armada de Maluco; Borneo,Magellan Menu,,,Syzygium aromaticum. Clove. Franz Eugene Köhler. 1897.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CNjBAvbnlaC/
coll043,https://lh3.googleusercontent.com/d/1R_6t5FCUTH_dmPCOFXuKR94M9whX3ZXr,,L. INSULAR ASIAN FOODS,,,"Pigafetta and the men of the Armada expanded their tastes of Insular Southeast Asian foods while loading clove at Tidore Island. Its leader Rajah-Sultan Manzor became their patron. Pigafetta learned of labu (possibly a wild cucumber), calama (rhubarb), itich (gander), ansa (goose). At Buru (the third largest island of the Moluccas) he recorded chanali (a delicacy of banana, Javanese almond and honey wrapped in leaves). Back in Tidore, Pigafetta discovered “wooden bread”. It was the sole (or principal) provision of island sailors he explained. He described it as made of “soft wood,” actually the pith of a palm covered in thorns. The soft wood was also known as saghu. There is no mention if wooden bread would be carried on the journey to Spain. There was no sea biscuit, the hard and double baked wheat bread that European mariners depended on. Their expedition had been teaching them about Asian food, psyche, and social relations. ctto Commemorative Lapulapu medal minted by the Philippine Central Bank.",Antonio Pigafetta; Rajah-Sultan Manzor; Tidore Island,Magellan Menu,,,Commemorative Lapulapu medal minted by the Philippine Central Bank.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CN1YKphHtS4/
coll044,https://lh3.googleusercontent.com/d/1zyki2UmHyYzdrnB-_B3I0Ir-yZiC2pXy,,M.	EXTREME HUNGER NOTWITHSTANDING,,,"In preparation for the trip to Seville, the 2 ships stocked bamboo tubes taller than a person filled with drinking water. They may have had goats, but certainly no pork since they were in an Islamic sultanate. Maybe they carried unripe bananas, coconuts, rice, sagho, dried fish. Only the Victoria would continue on. The Trinidad, suddenly leaking badly, would attempt to retrace the Pacific and South American route after making repairs. Meanwhile, the winds were favourable to sail west. On February 11, 1522 Victoria left Timor, the last island with fresh supplies. As they crossed from the South Sea to Africa, as Pigafetta wrote: because they had no salt their food putrified. If Portuguese spotted them, their clove and maps would be confiscated. They would all be taken prisoners. After 9 weeks rounding the Cape of Good Hope in tempestuous seas they reached the Atlantic Ocean. They had broken a mast and were leaking. Being in waters where it was legal for them, they stopped at a Portuguese port on Cape Verde Islands for food feigning they had been exploring Spanish America and were heading home. The ruse worked but not for long. Leaving 13 of their men still ashore, Elcano and all who had remained aboard sailed off to avoid the Portuguese sure to give chase. When the Victoria reached Spain on September 6, 1522 only 18 of the 237 original crew who began the trip on August 10, 1519 were alive. Of the 13 natives from Tidore who helped navigate only 4 made it. Sebastian Elcano, a Basque native, had brought the Victoria home. They had completed the first circumnavigation against all odds: an unknown route, bad weather, mutiny, warring natives, fear of the unknown, sickness, and prolonged hunger. Humanity was victorious. ctto Commemorative coin featuring the Victoria.",Victoria; Trinidad; Antonio Pigafetta; Sebastian Elcano,Magellan Menu,,,Commemorative coin featuring the Victoria.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CN3lbT1HfBf/
coll045,https://lh3.googleusercontent.com/d/1g25WFmITVDRZd1IqzNrYqfIZjg2OLB7u,,MORGA A MUST,,2019-11-22,"Here begins a second series on Philippine food history. Antonio Morga, a native of Seville arrived in Manila in 1595, the year when the Spanish colony called Filipinas turned 30 years old. He became senior auditor of the Manila Audiencia and witnessed first-hand historical events and everyday customs such as how natives and Spanish settlers ate. “Events in the Philippines” that he penned in 1609 is the basis for this food history series.",Antonio Morga,Antonio Morga 30,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5KReTIHHO4/
coll046,https://lh3.googleusercontent.com/d/1NFFlbffizmoe-m8z3W39C2QOabLh2HDJ,,MORISQUETA IS WHAT MORGA CALLED COOKED RICE,,2019-11-22,"It was growing in the Philippines and insular Southeast Asia when Renaissance explorers arrived. Rice was the common native fare for Filipinos he wrote. (In Tagalog it is kanin.) Morisqueta means roughly “food of the Moors.” They introduced rice (originally from China) into wheat-growing Spain; Spanish introduced rice to Mexico and other parts of the Americas in the 15th and 16th centuries. Arroz is Andalusian Arabic from Arabic aruzz, meaning rice.",Morisqueta; Rice,Antonio Morga 30,,,Book by Gerald Brenan for Horizon Publishing.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5KhpibnJnx/
coll047,https://lh3.googleusercontent.com/d/1Qid_Qz-tRgQWGGrB9QRW79enB977Xx0a,,PIECES OF EIGHT AND RICE,,2019-11-23,"Pirates captured Spanish galleons carrying silver dollars (also called Spanish pesos), one coin equal to 8 reales. A coin was sometimes cut like a pie into 8 triangular “wedges” that were used as currency. Morga recorded that in Filipinas, each native had to pay an annual tribute of 8 reales to the colonial government as set by Miguel Lopez de Legaspi (who began the Conquest in 1565). In kind: 2 fanegas of rice = 2 reales; 1 hen = 1/2 real; 1 woven cotton blanket = 4 reales. The rice tribute was needed to feed soldiers, sailors, Spanish settlers, etc. Natives had to increase production to pay tribute.",Tributes; Rice tributes,Antonio Morga 30,,,"Ghost Ship PIN by Arthur Laser on Otherland, 2019.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5MlCasHOW-/
coll048,https://lh3.googleusercontent.com/d/1L7FB68PgnpNET3InaKFo2RzmJCzIvqXW,,FISH EATERS,,2019-11-24,"Morga wrote that the regular diet of natives was rice with “boiled fish of which there is an abundance.” Fishing was “a natural activity for self-support.” There were good sardines, sea eels, bass, seabreams called bacocos , skates, soles, bicudas, tanguingues, flounders, tarakitoks, pin-pointed fish, golden fish, eels, gilt heads, large and small oysters, mollusks, crabs, shrimps, sea-spiders, marine crabs, all kinds of mollusks plus others I will name in another post. As the colony turned 30 years old, perhaps Morga saw fit to enumerate its natural riches. Boiled fish is what Pigafetta ate in 1521, fish with broth. ctto Detail of El Pescador de Sacag painted by Felix Resurrección Hidalgo and first exhibited in 1875.","Fishes; Natives, Diet",Antonio Morga 30,,,"Collection of Museo del Prado, Madrid. In “Discovering Philippine Art in Spain” RP Department of Foreign Afffairs, 1998,Felice Prudente Sta. Maria, editor",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5PHA9jnzzR/
coll049,https://lh3.googleusercontent.com/d/1AQTnZSeMzNru07_l8V1gn6k0ulaVf4aC,,SARDINE ENIGMA,,2019-11-25,"Morga pinpointed as ordinary food of natives the LAULAU. It is a “very small fish which is netted, dried in the sun or air, then cooked in various ways.” LAULAU ends a paragraph about fish caught at Bonbon Lake in Batangas.
In 1953 an updated checklist of Philippine fishes was published. Sardinella fimbriata, the round-bodied sardine, was called Lao-Lao or Tamban Lao-Lao commonly. It was a marine species that entered river mouths and was abundant in central and southern Philippines. It also lived in waters of East India, the East Indies and China.

In 1890, Jose Rizal published from Paris an annotated version of Morga’s book. He ventured that LAULAU may have been TAWILIS. Today we know tawilis is the world’s only freshwater sardine and is found in Taal Lake, the current name of Bonbon Lake. The Lake was linked to Balayan Bay by Pansipit River, an actively navigated channel. An eruption in 1754, however, silted up the mouth and a narrower river eventually formed nearby. TAWILIS is Sardinella tawilis, not included in the 1953 list. Admittedly the list was a work in progress. One wonders if the saltwater S. fimbriata, having been isolated in the lake, evolved into the freshwater S. tawilis.",Lao-Lao; Tamban Lao-Lao; Tawilis; Fishes,Antonio Morga 30,,,"Image from “Pronouncing Gazetteer,” 1902",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5RRBr5niJo/
coll050,https://lh3.googleusercontent.com/d/1ba9oJ2mLhtY52wsyo4LL9_mgcfx2IKck,,FERMENTATION TUSSLE,,2019-11-26,"Jose Rizal (1861-1896) felt Morga had insulted Filipinos when he wrote: “They prefer [to eat] meat and fish, salt fish which begin to decompose and smell.” Rizal countered: “This is another preoccupation of the Spanish who, like any other nation, in the matter of food, loathe that to which they are not accustomed or is unknown to them.”
The English are horrified that Spanish eat snails, Spanish that English eat raw beefsteak, Chinese find Roquefort cheese awful but eat tahuri.
Rizal believed the rotting fish Morga referred to was bagoong and all know it “ought not to be rotten,” Rizal added.
Bagoong is a naturally fermented flavouring paste made by brining krill or fish similar to GARUM used in Spain during the Roman Empire. LIQUAMEN is a liquid like Patis. No less than the unidentified gastrophile Apicius made Garum when the Caesars dined from 27 BC to 5 AD.",Bagoong; Fermentation; Garum; Liquamen,Antonio Morga 30,,,Handwritten recipe for Extraordinary Spiced Wine from ON COOKING by Apicius.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5UpmhfnRLy/
coll051,https://lh3.googleusercontent.com/d/1WLm6iH3abfEKe72VdilVrBP7ustlwcap,,ENDEMIC MABOLO,,2019-11-27,"Morga listed fruits eaten while he was residing in Filipinas from 1595-1603. One of them was mabolo ( Prospyrus blanco), called Velvet Apple in English. It is the fruit of kamagong, a Philippine tree that is endemic (meaning native and restricted to growing in the birthplace terrain originally; born on the archipelago from where it might spread elsewhere). Inside an inedible velvety, furry red skin is edible, soft creamy flesh that is scooped out with a spoon. While mabolo seems to have fallen out of popularity locally, it is cultivated and sold abroad and even comes in a seedless variety.",Mabolo; Velvet Apple,Antonio Morga 30,,,Image is Brand: Zaichenko Iryna,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5WotIQH5BU/
coll052,https://lh3.googleusercontent.com/d/1PPbl4ZdWYJkvVzMd-dnGYHduDz9uAhc1,,AFRICAN IMMIGRANT,,2019-11-28,"Morga documented tamarind (Tamarindus indica) being eaten in Filipinas (1595-603). It is known to have originated in tropical Africa from where the plant migrated to the Indian subcontinent. The term Tamarinde is, in fact, Afrikaans. In prehistoric times it reached Southeast Asia. One wonders why in the Philippines it also is called sampaloc. In 1567 tamarind saplings were entrusted from Cebu to a ship captain for the Spanish King. They were to be planted in Mexico to provide a nearer source for the commercially profitable ingredient than Asia. By 1573 they were fruiting and suggest that Mexico’s first tamarinds came from Filipinas. Tamarind flowers, leaves, fruit are used in delicious Philippine cooking. ctto Women of Sudan Africa.",Tamarind; Sampaloc,Antonio Morga 30,,,"Getty Image from “Gallery and History of All Peoples...” published by Giuseppe Antonell, 1838, Venice",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5aASYrnSLk/
